Mouse,Radiation,Diet,Date,Weight
3080,Sham,CDDO-EA,2020-03-20,30
3080,Sham,CDDO-EA,2020-04-24,34.4
3081,Sham,CDDO-EA,2019-04-03,26.1
3081,Sham,CDDO-EA,2019-05-01,25.9
3081,Sham,CDDO-EA,2019-05-07,26.3
3081,Sham,CDDO-EA,2019-05-28,28.4
3081,Sham,CDDO-EA,2019-06-05,25.7
3081,Sham,CDDO-EA,2019-06-12,28.9
3081,Sham,CDDO-EA,2019-06-19,29.1
3081,Sham,CDDO-EA,2019-06-26,29.3
3081,Sham,CDDO-EA,2019-07-03,29
3081,Sham,CDDO-EA,2019-07-10,29.4
3081,Sham,CDDO-EA,2019-07-17,29.5
3081,Sham,CDDO-EA,2019-07-24,29.5
3081,Sham,CDDO-EA,2019-07-31,29.6
3081,Sham,CDDO-EA,2019-08-07,29.2
3081,Sham,CDDO-EA,2019-08-14,29.2
3081,Sham,CDDO-EA,2019-08-21,29.4
3081,Sham,CDDO-EA,2019-08-28,29.1
3081,Sham,CDDO-EA,2019-09-04,29.6
3081,Sham,CDDO-EA,2019-09-11,29.5
3081,Sham,CDDO-EA,2019-09-18,29.8
3081,Sham,CDDO-EA,2019-09-25,29.5
3081,Sham,CDDO-EA,2019-10-02,29.2
3081,Sham,CDDO-EA,2019-10-09,29.6
3081,Sham,CDDO-EA,2019-10-15,29.4
3081,Sham,CDDO-EA,2019-10-22,30.7
3081,Sham,CDDO-EA,2019-10-30,29.9
3081,Sham,CDDO-EA,2019-11-05,30.7
3081,Sham,CDDO-EA,2019-11-13,30
3081,Sham,CDDO-EA,2019-11-20,32.8
3081,Sham,CDDO-EA,2019-11-27,33.5
3081,Sham,CDDO-EA,2019-12-14,31.9
3081,Sham,CDDO-EA,2019-12-11,32.5
3081,Sham,CDDO-EA,2019-12-20,32.8
3081,Sham,CDDO-EA,2019-12-26,38.4
3081,Sham,CDDO-EA,2020-01-02,32.4
3081,Sham,CDDO-EA,2020-01-08,33.4
3081,Sham,CDDO-EA,2020-01-15,32.5
3081,Sham,CDDO-EA,2020-01-22,32
3081,Sham,CDDO-EA,2020-01-29,31.7
3081,Sham,CDDO-EA,2020-02-05,31.7
3081,Sham,CDDO-EA,2020-02-12,34.9
3081,Sham,CDDO-EA,2020-02-19,35.3
3081,Sham,CDDO-EA,2020-02-26,35.5
3081,Sham,CDDO-EA,2020-03-04,36.8
3081,Sham,CDDO-EA,2020-03-20,36.4
3081,Sham,CDDO-EA,2020-04-24,32.1
3082,Sham,CDDO-EA,2019-04-03,25
3082,Sham,CDDO-EA,2019-05-01,28.1
3082,Sham,CDDO-EA,2019-05-07,25.5
3082,Sham,CDDO-EA,2019-05-28,27.9
3082,Sham,CDDO-EA,2019-06-05,25.5
3082,Sham,CDDO-EA,2019-06-12,27.2
3082,Sham,CDDO-EA,2019-06-19,28.2
3082,Sham,CDDO-EA,2019-06-26,28.4
3082,Sham,CDDO-EA,2019-07-03,28.5
3082,Sham,CDDO-EA,2019-07-10,28.4
3082,Sham,CDDO-EA,2019-07-17,29
3082,Sham,CDDO-EA,2019-07-24,28.5
3082,Sham,CDDO-EA,2019-07-31,28.4
3082,Sham,CDDO-EA,2019-08-07,27.9
3082,Sham,CDDO-EA,2019-08-14,27.9
3082,Sham,CDDO-EA,2019-08-21,28
3082,Sham,CDDO-EA,2019-08-28,28.9
3082,Sham,CDDO-EA,2019-09-04,27.5
3082,Sham,CDDO-EA,2019-09-11,27.3
3082,Sham,CDDO-EA,2019-09-18,27.4
3082,Sham,CDDO-EA,2019-09-25,27.8
3082,Sham,CDDO-EA,2019-10-02,27.4
3082,Sham,CDDO-EA,2019-10-09,27.6
3082,Sham,CDDO-EA,2019-10-15,28.6
3082,Sham,CDDO-EA,2019-10-22,28.3
3082,Sham,CDDO-EA,2019-10-30,28
3082,Sham,CDDO-EA,2019-11-05,28.4
3082,Sham,CDDO-EA,2019-11-13,27.7
3082,Sham,CDDO-EA,2019-11-20,29.8
3082,Sham,CDDO-EA,2019-11-27,29.9
3082,Sham,CDDO-EA,2019-12-14,28
3082,Sham,CDDO-EA,2019-12-11,29.4
3082,Sham,CDDO-EA,2019-12-20,29.4
3082,Sham,CDDO-EA,2019-12-26,34.4
3082,Sham,CDDO-EA,2020-01-02,29.3
3082,Sham,CDDO-EA,2020-01-08,32.5
